query_id,method,query_index,query_text,query_intent,top_k,latency_ms,top1_score,hit_at_k,precision_at_k,rr,ndcg_at_k
dense_q_21210,dense,21210,I want assistance to notify of an error with a registration,registration_problems,5,27.3508,0.9746475219726562,1.0,1.0,1.0,1.0
dense_q_14500,dense,14500,modify details on {{Account Type}} account,edit_account,5,114.9213,1.0,1.0,1.0,1.0,1.0
dense_q_7199,dense,7199,want help filing a claim,complaint,5,1322.3922,0.9708696007728577,1.0,1.0,1.0,1.0
dense_q_11888,dense,11888,have a problem with the removal of my {{Account Type}} account,delete_account,5,35.9655,0.9898428320884705,1.0,1.0,1.0,1.0
dense_q_6260,dense,6260,need assistance to see in what cases can i ask for refunds,check_refund_policy,5,28.255,0.9882105588912964,1.0,1.0,1.0,1.0
dense_q_2259,dense,2259,the shipping address has changed how can i modify it,change_shipping_address,5,22.6713,0.97881019115448,1.0,1.0,1.0,1.0
dense_q_1949,dense,1949,edit order {{Order Number}},change_order,5,23.3187,1.0,1.0,1.0,1.0,1.0
dense_q_19555,dense,19555,I have got to acquire several of your article,place_order,5,25.8596,0.9332835674285889,1.0,1.0,1.0,1.0
dense_q_22961,dense,22961,i have a trouble submitting a different shipping address,set_up_shipping_address,5,18.3233,0.984943151473999,1.0,1.0,1.0,1.0
dense_q_7280,dense,7280,i need assistance making a consumer claim against ur compan,complaint,5,35.2089,0.8834754228591919,1.0,1.0,1.0,1.0
dense_q_22364,dense,22364,how can i submit my feedback about ur products,review,5,14.9874,0.9821987748146057,1.0,1.0,1.0,1.0
dense_q_4447,dense,4447,how to check bill #85632?,check_invoice,5,15.0393,0.9498848915100098,1.0,1.0,1.0,1.0
dense_q_22864,dense,22864,help me submit some feedback for a service,review,5,30.4007,0.9769839644432068,1.0,1.0,1.0,1.0
dense_q_1813,dense,1813,i want help removing a product from order {{Order Number}},change_order,5,23.4828,0.9889841675758362,1.0,1.0,1.0,1.0
dense_q_12586,dense,12586,wanna see what shipping methods are available how to do it,delivery_options,5,19.6505,0.9376862049102783,1.0,1.0,1.0,1.0
dense_q_21902,dense,21902,I need assistance to leave an opinion for your services,review,5,23.609,0.9663810133934021,1.0,1.0,1.0,1.0
dense_q_8316,dense,8316,I do not know how I can get in touch with customer service,contact_customer_service,5,28.7688,0.9896218180656433,1.0,1.0,1.0,1.0
dense_q_4373,dense,4373,I need assistance to look for the invoice #00108,check_invoice,5,25.6791,0.9643470644950867,1.0,0.8,0.5,0.7606395682357036
dense_q_717,dense,717,i have to cancel purchase {{Order Number}},cancel_order,5,21.3377,1.0,1.0,1.0,1.0,1.0
dense_q_3388,dense,3388,"I have to check the early exit charge, how can I do it?",check_cancellation_fee,5,25.772,0.9686673879623413,1.0,1.0,1.0,1.0
dense_q_17561,dense,17561,"I have to sign up to your newsletter, I need assistance",newsletter_subscription,5,27.3448,0.9707323908805847,1.0,1.0,1.0,1.0
dense_q_23138,dense,23138,there is a problem entering my secondary shipping address,set_up_shipping_address,5,21.1231,0.9825801849365234,1.0,1.0,1.0,1.0
dense_q_16327,dense,16327,"I paid {{Currency Symbol}}{{Refund Amount}} for a product, I want to obtain a fucking rebate",get_refund,5,108.8886,0.9777497053146362,1.0,1.0,1.0,1.0
dense_q_4897,dense,4897,is it possible to chec my bill #37777,check_invoice,5,15.3519,0.8172999620437622,1.0,0.8,0.5,0.7606395682357036
dense_q_8815,dense,8815,what is thecustomer support mail,contact_customer_service,5,21.6277,0.6873233318328857,1.0,1.0,1.0,1.0
dense_q_24776,dense,24776,changkng to platinum account,switch_account,5,111.9107,0.8142846822738647,1.0,1.0,1.0,1.0
dense_q_16019,dense,16019,what do i have to do to request restitutions of money,get_refund,5,22.2825,0.9720637798309326,1.0,1.0,1.0,1.0
dense_q_614,dense,614,how do I cancel purchae {{Order Number}}?,cancel_order,5,26.8909,0.9999999403953552,1.0,1.0,1.0,1.0
dense_q_21648,dense,21648,where do I inform of an error with sign-up?,registration_problems,5,23.8843,0.977296769618988,1.0,1.0,1.0,1.0
dense_q_13978,dense,13978,correct details on premium account,edit_account,5,31.9236,0.9817856550216675,1.0,1.0,1.0,1.0
dense_q_5029,dense,5029,wanna list the bloody accepted payment options how to do it,check_payment_methods,5,28.8844,0.8883929252624512,1.0,1.0,1.0,1.0
dense_q_20524,dense,20524,i have to resdet my user pin code,recover_password,5,38.1325,0.9260652661323547,1.0,1.0,1.0,1.0
dense_q_26273,dense,26273,I'm waiting for a refund of {{Refund Amount}} dollrs,track_refund,5,104.7289,1.0000001192092896,1.0,1.0,1.0,1.0
dense_q_9019,dense,9019,could I speak to a live agent?,contact_human_agent,5,30.7402,0.9857596158981323,1.0,1.0,1.0,1.0
dense_q_24012,dense,24012,help changing to the standard account,switch_account,5,19.0579,0.9955175518989563,1.0,1.0,1.0,1.0
dense_q_19420,dense,19420,I need help to earn several producst,place_order,5,18.2097,0.8602825403213501,1.0,1.0,1.0,1.0
dense_q_24917,dense,24917,can I check the ETA of order {{Order Number}}?,track_order,5,30.1293,0.9931789636611938,1.0,1.0,1.0,1.0
dense_q_22013,dense,22013,I am trying to leave fewedback about a service,review,5,25.277,0.631190836429596,1.0,1.0,1.0,1.0
dense_q_5064,dense,5064,want assistance checking your available payment modalities,check_payment_methods,5,28.6887,0.9762172698974609,1.0,1.0,1.0,1.0
dense_q_22592,dense,22592,wanna leave an opinion,review,5,446.3997,0.735664963722229,1.0,1.0,1.0,1.0
dense_q_4937,dense,4937,I'm trying to check ur payment modalitise,check_payment_methods,5,25.021,0.9070746302604675,1.0,1.0,1.0,1.0
dense_q_5170,dense,5170,check ur paymnt modalities,check_payment_methods,5,17.6238,0.8325623869895935,1.0,1.0,1.0,1.0
dense_q_25747,dense,25747,how can i see the status of purchase {{Order Number}},track_order,5,23.4319,0.98199462890625,1.0,1.0,1.0,1.0
dense_q_9121,dense,9121,i want help chatting with an assistant,contact_human_agent,5,40.156,0.9577656984329224,1.0,1.0,1.0,1.0
dense_q_15472,dense,15472,wanna downlpad my bill from {{Person Name}},get_invoice,5,31.0802,0.8805645704269409,1.0,1.0,1.0,1.0
dense_q_23947,dense,23947,where to change to the freemium account,switch_account,5,17.9328,0.9739134907722473,1.0,1.0,1.0,1.0
dense_q_15554,dense,15554,send me bills from {{Person Name}},get_invoice,5,28.1735,1.0,1.0,1.0,1.0,1.0
dense_q_17861,dense,17861,how can I subscribe to the newsletter?,newsletter_subscription,5,19.0062,0.9893447756767273,1.0,1.0,1.0,1.0
dense_q_18551,dense,18551,i cannot pay want help to report errors with payments,payment_issue,5,25.2048,0.9353992342948914,1.0,1.0,1.0,1.0
dense_q_1072,dense,1072,remove a product from purchase {{Order Number}},change_order,5,29.093,0.9970738291740417,1.0,1.0,1.0,1.0
dense_q_3161,dense,3161,could uhelp me check the cancellation penalty,check_cancellation_fee,5,23.0277,0.9320473670959473,1.0,1.0,1.0,1.0
dense_q_20802,dense,20802,how can i find information about my key recovery,recover_password,5,19.1753,0.8970942497253418,1.0,1.0,1.0,1.0
dense_q_16003,dense,16003,can you help me ask for a rebate of money?,get_refund,5,24.7903,0.9649109840393066,1.0,1.0,1.0,1.0
dense_q_26501,dense,26501,I am waiting for a compensation of  {{Currency Symbol}}{{Refund Amount}},track_refund,5,121.6495,1.000000238418579,1.0,1.0,1.0,1.0
dense_q_2723,dense,2723,i have issues trying to edit my delivery address,change_shipping_address,5,29.6299,1.000000238418579,1.0,1.0,1.0,1.0
dense_q_23007,dense,23007,where to submit a  different delivery address,set_up_shipping_address,5,18.0184,0.9748041033744812,1.0,1.0,1.0,1.0
dense_q_1194,dense,1194,I want to change several products of order {{Order Number}},change_order,5,26.3128,0.9786397218704224,1.0,1.0,1.0,1.0
dense_q_21157,dense,21157,is it possible to notify of a problem with a signup?,registration_problems,5,14.7722,0.9773118495941162,1.0,1.0,1.0,1.0
dense_q_5466,dense,5466,how to check what payment options are available,check_payment_methods,5,23.7186,0.9779567122459412,1.0,1.0,1.0,1.0
dense_q_15523,dense,15523,i cant find the bill #00108 will umail it to me,get_invoice,5,27.9325,0.9071899652481079,1.0,0.2,0.5,0.6309297535714575
dense_q_3828,dense,3828,I am trying to see the fucking withdrawal charges,check_cancellation_fee,5,15.163,0.8608815670013428,1.0,1.0,1.0,1.0
dense_q_22440,dense,22440,i want help to send feedback for ur services,review,5,16.189,0.9633327722549438,1.0,1.0,1.0,1.0
dense_q_5401,dense,5401,how to list the allowed payment modalities?,check_payment_methods,5,15.7957,0.9810963273048401,1.0,1.0,1.0,1.0
dense_q_3990,dense,3990,i want assistance to check the invoices from {{Person Name}},check_invoice,5,18.8184,0.9913781881332397,1.0,1.0,1.0,1.0
dense_q_15703,dense,15703,I am calling to get my goddamn invoices from {{Person Name}},get_invoice,5,114.9982,0.9214400053024292,1.0,0.8,1.0,0.9558295932317544
dense_q_12283,dense,12283,need to check what methods for delivery i can choose help me,delivery_options,5,27.7809,0.9770153760910034,1.0,1.0,1.0,1.0
dense_q_9246,dense,9246,directing to operator,contact_human_agent,5,1172.8429,0.7868452668190002,1.0,1.0,1.0,1.0
dense_q_7275,dense,7275,can you help me filing a complaiont?,complaint,5,27.7756,0.679236888885498,1.0,1.0,1.0,1.0
dense_q_12307,dense,12307,where to see what shipment options I have?,delivery_options,5,42.0447,0.9927958250045776,1.0,1.0,1.0,1.0
dense_q_6086,dense,6086,check under what circumstances can i request a reimbursement,check_refund_policy,5,21.3202,0.9735125303268433,1.0,1.0,1.0,1.0
dense_q_12403,dense,12403,I need assistance to check what shipment options are there,delivery_options,5,24.7616,0.9763031601905823,1.0,1.0,1.0,1.0
dense_q_5365,dense,5365,need assistance checking ur allowed payment options,check_payment_methods,5,37.552,0.9580576419830322,1.0,1.0,1.0,1.0
dense_q_33,dense,33,i do not know how i can cancel purchase {{Order Number}},cancel_order,5,34.5199,0.9999998807907104,1.0,1.0,1.0,1.0
dense_q_26606,dense,26606,i have got to track my refund,track_refund,5,29.5502,0.8939169645309448,1.0,1.0,1.0,1.0
dense_q_11612,dense,11612,I want information about the termination of a {{Account Type}} account,delete_account,5,21.4715,1.0000001192092896,1.0,1.0,1.0,1.0
dense_q_24948,dense,24948,what do I need to do to see order {{Order Number}} status?,track_order,5,26.3202,0.9968461990356445,1.0,1.0,1.0,1.0
dense_q_14125,dense,14125,editting details on platinum account,edit_account,5,31.9961,0.9893056154251099,1.0,1.0,1.0,1.0
dense_q_4260,dense,4260,what do i have to do to check my invoice from {{Person Name}},check_invoice,5,101.7107,0.97737717628479,1.0,1.0,1.0,1.0
dense_q_9571,dense,9571,I try to talk to a live agent,contact_human_agent,5,16.0332,0.9213209748268127,1.0,1.0,1.0,1.0
dense_q_12719,dense,12719,help me to check what delivery methods I can choose,delivery_options,5,15.6615,1.0000001192092896,1.0,1.0,1.0,1.0
dense_q_14588,dense,14588,change details on {{Account Type}} account,edit_account,5,16.6926,1.0000001192092896,1.0,1.0,1.0,1.0
dense_q_20559,dense,20559,help to retrieve the password of my profile,recover_password,5,16.4126,0.9614796042442322,1.0,1.0,1.0,1.0
dense_q_1965,dense,1965,I want help changing an article of purchase {{Order Number}},change_order,5,24.0461,0.9888309240341187,1.0,1.0,1.0,1.0
dense_q_5291,dense,5291,wanna list  ur payment options could i get some help,check_payment_methods,5,32.6698,0.9271948337554932,1.0,1.0,1.0,1.0
dense_q_12683,dense,12683,do you ship  to {{Delivery Country}}?,delivery_options,5,34.414,1.0,1.0,1.0,1.0,1.0
dense_q_6993,dense,6993,I try to file a complaint against your company,complaint,5,25.0124,0.9665447473526001,1.0,1.0,1.0,1.0
dense_q_14320,dense,14320,correcting information on platinum account,edit_account,5,18.7907,0.9891470670700073,1.0,1.0,1.0,1.0
dense_q_7809,dense,7809,I need help to file a consumer reclamation,complaint,5,33.4589,0.9923789501190186,1.0,1.0,1.0,1.0
dense_q_1570,dense,1570,change purchase {{Order Number}},change_order,5,19.6754,1.000000238418579,1.0,1.0,1.0,1.0
dense_q_20925,dense,20925,need assistance reporting an error with a signup,registration_problems,5,14.8203,0.9760682582855225,1.0,1.0,1.0,1.0
dense_q_6007,dense,6007,I am trying to check your money back guarantee,check_refund_policy,5,17.6075,0.9564675092697144,1.0,1.0,1.0,1.0
dense_q_9199,dense,9199,how to speak with somebody ?,contact_human_agent,5,14.8291,0.9858988523483276,1.0,1.0,1.0,1.0
dense_q_8915,dense,8915,can I talk to a person?,contact_human_agent,5,34.5121,0.9541836380958557,1.0,1.0,1.0,1.0
dense_q_12541,dense,12541,is it possible to order from {{Delivery City}} ?,delivery_options,5,35.0686,1.0000001192092896,1.0,1.0,1.0,1.0
dense_q_23775,dense,23775,I have troubles setting up a new shipping address,set_up_shipping_address,5,16.3983,0.9824074506759644,1.0,1.0,1.0,1.0
dense_q_17567,dense,17567,I have got to unsubscribe from your newsletter,newsletter_subscription,5,34.5463,0.9724162817001343,1.0,1.0,1.0,1.0
dense_q_13276,dense,13276,I want to check how long it takes for the order to arrive,delivery_period,5,16.1473,0.9493372440338135,1.0,1.0,1.0,1.0
dense_q_3019,dense,3019,I want help to see the termination charges,check_cancellation_fee,5,18.4347,1.0,1.0,1.0,1.0,1.0
dense_q_26380,dense,26380,I expect an rebate of {{Refund Amount}} dollars,track_refund,5,34.5592,1.0,1.0,1.0,1.0,1.0
dense_q_3667,dense,3667,can you help me check the termination charge?,check_cancellation_fee,5,15.4694,0.9741547703742981,1.0,1.0,1.0,1.0
dense_q_6909,dense,6909,I try to see in what situations can I request to be refunded,check_refund_policy,5,27.2497,0.9635576605796814,1.0,1.0,1.0,1.0
dense_q_21027,dense,21027,I do not know how to notify of a sign-up error,registration_problems,5,17.7515,0.9886893033981323,1.0,1.0,1.0,1.0
dense_q_12657,dense,12657,how to see what delivery options you offer?,delivery_options,5,17.5395,0.9944067597389221,1.0,1.0,1.0,1.0
dense_q_499,dense,499,I don't know what to do to cancel order {{Order Number}},cancel_order,5,28.3968,0.9926363229751587,1.0,1.0,1.0,1.0
dense_q_1120,dense,1120,assistance changing order {{Order Number}},change_order,5,27.476,0.9663374423980713,1.0,1.0,1.0,1.0
dense_q_18855,dense,18855,I need to report errors with payment,payment_issue,5,17.631,0.9935054779052734,1.0,1.0,1.0,1.0
dense_q_837,dense,837,problems with cancelling purchase {{Order Number}},cancel_order,5,26.3089,1.0000001192092896,1.0,1.0,1.0,1.0
dense_q_2005,dense,2005,want support modifying the delivery address,change_shipping_address,5,27.31,0.9608303308486938,1.0,1.0,1.0,1.0
dense_q_24304,dense,24304,I don't know what I have to do to change to the {{Account Type}} account,switch_account,5,43.6595,0.9977574348449707,1.0,1.0,1.0,1.0
dense_q_25311,dense,25311,checking status of order,track_order,5,23.7103,0.9932786226272583,1.0,1.0,1.0,1.0
dense_q_9952,dense,9952,open gold account for wife,create_account,5,43.4338,0.9851247072219849,1.0,1.0,1.0,1.0
dense_q_25282,dense,25282,I can't check the current status of purchase {{Order Number}},track_order,5,32.1418,0.9999999403953552,1.0,1.0,1.0,1.0
dense_q_7798,dense,7798,where can i lodge a reclamation against ur business,complaint,5,16.1418,0.987259566783905,1.0,1.0,1.0,1.0
dense_q_22866,dense,22866,uhave a method to submit feedback for ur services,review,5,34.3338,0.9034020900726318,1.0,1.0,1.0,1.0
dense_q_23697,dense,23697,need assistance entering my new shipping address,set_up_shipping_address,5,28.8766,0.9831608533859253,1.0,1.0,1.0,1.0
dense_q_23095,dense,23095,help setting up my new delivery address,set_up_shipping_address,5,18.2478,0.9846087098121643,1.0,1.0,1.0,1.0
dense_q_17927,dense,17927,I want help notifying of troubles with online paymnet,payment_issue,5,23.6302,0.8191028833389282,1.0,1.0,1.0,1.0
dense_q_6261,dense,6261,I want to see under what circumstances can I request refunds,check_refund_policy,5,19.5564,0.9835312962532043,1.0,1.0,1.0,1.0
dense_q_22701,dense,22701,I do not know how to submit some feedback for a servicd,review,5,36.4513,0.8484326601028442,1.0,1.0,1.0,1.0
dense_q_12717,dense,12717,I want to check what methods for delivery you offer,delivery_options,5,19.6436,0.9685690402984619,1.0,1.0,1.0,1.0
dense_q_8824,dense,8824,how can I check at what time I can call customer service?,contact_customer_service,5,35.1925,0.9952415227890015,1.0,1.0,1.0,1.0
dense_q_560,dense,560,"I can't afford order {{Order Number}}, I need help to cancel it",cancel_order,5,29.6625,0.9915733933448792,1.0,1.0,1.0,1.0
dense_q_12435,dense,12435,i want help to check the shipping methods,delivery_options,5,26.5083,0.9784151911735535,1.0,1.0,1.0,1.0
dense_q_6414,dense,6414,help seeing in what cases can I ask for reimbursements,check_refund_policy,5,19.6649,0.9938615560531616,1.0,1.0,1.0,1.0
dense_q_10116,dense,10116,can you help me create a freemium account?,create_account,5,27.0701,0.9957898855209351,1.0,1.0,1.0,1.0
dense_q_3157,dense,3157,I don't know what I have to do to check the withdrawal fees,check_cancellation_fee,5,26.064,0.9879080057144165,1.0,1.0,1.0,1.0
dense_q_18417,dense,18417,how can I report troubles with online payment?,payment_issue,5,26.8254,0.9857743978500366,1.0,1.0,1.0,1.0
dense_q_12895,dense,12895,can i place an oeder from {{Delivery City}},delivery_options,5,17.0506,1.0,1.0,1.0,1.0,1.0
dense_q_18077,dense,18077,is it possible to report troubles with payments?,payment_issue,5,13.7556,0.9251929521560669,1.0,1.0,1.0,1.0
dense_q_4625,dense,4625,could uhelp me see my goddamn invoikces from {{Person Name}},check_invoice,5,24.0174,0.6886469721794128,1.0,0.8,1.0,0.9047172294870751
dense_q_1154,dense,1154,how to change something of order {{Order Number}},change_order,5,27.2207,0.9898368120193481,1.0,1.0,1.0,1.0
dense_q_13943,dense,13943,changing information on {{Account Category}} account,edit_account,5,25.4091,1.000000238418579,1.0,1.0,1.0,1.0
dense_q_26252,dense,26252,help to see the status of my rebate,track_refund,5,21.6535,0.9774790406227112,1.0,1.0,1.0,1.0
dense_q_6988,dense,6988,need to file a bloody consumer reclamation how can i do it,complaint,5,26.6432,0.9194319248199463,1.0,1.0,1.0,1.0
dense_q_10276,dense,10276,I need help to open a standard account,create_account,5,19.0548,0.9816874861717224,1.0,1.0,1.0,1.0
dense_q_9214,dense,9214,I do not know what I have to do to speak with an operator,contact_human_agent,5,25.6353,0.9934348464012146,1.0,1.0,1.0,1.0
dense_q_21026,dense,21026,i cannot notify of a problem with a sign-up,registration_problems,5,23.0638,0.9547587633132935,1.0,1.0,1.0,1.0
dense_q_13154,dense,13154,I have to check how soon can I expect the purchase,delivery_period,5,26.4086,0.9776304364204407,1.0,1.0,1.0,1.0
dense_q_7677,dense,7677,i need help to lodge a customer claim agaisnt ur business,complaint,5,24.9058,0.9273388385772705,1.0,1.0,1.0,1.0
dense_q_9931,dense,9931,is it possible to create a freemium account?,create_account,5,21.833,0.9263542890548706,1.0,1.0,1.0,1.0
dense_q_10569,dense,10569,I do not know what to do to open a {{Account Category}} account,create_account,5,25.1864,1.0,1.0,1.0,1.0,1.0
dense_q_17696,dense,17696,"I want to receive your newsletter, how can I do it?",newsletter_subscription,5,20.0877,0.974878191947937,1.0,1.0,1.0,1.0
dense_q_25016,dense,25016,wana check the ETA of order {{Order Number}} will ya help me,track_order,5,18.3827,0.9392424821853638,1.0,1.0,1.0,1.0
dense_q_8362,dense,8362,help checking what hours I can call customer service,contact_customer_service,5,15.8637,0.9885963201522827,1.0,1.0,1.0,1.0
dense_q_4568,dense,4568,I need help giving a quick look at the bill #00108,check_invoice,5,15.8809,0.9878358244895935,1.0,1.0,1.0,1.0
dense_q_3876,dense,3876,can you help me see the damn withdrawal charge?,check_cancellation_fee,5,13.3056,0.9367174506187439,1.0,1.0,1.0,1.0
dense_q_1398,dense,1398,edit purchase {{Order Number}},change_order,5,22.5722,1.0000001192092896,1.0,1.0,1.0,1.0
dense_q_4894,dense,4894,i want help taking a quick look at the bills from {{Person Name}},check_invoice,5,13.7457,0.9836046695709229,1.0,1.0,1.0,1.0
dense_q_9754,dense,9754,i dont know what i need to do to speak to a person,contact_human_agent,5,13.3869,0.9819058775901794,1.0,1.0,1.0,1.0
dense_q_9628,dense,9628,I do not know what I need to do to talk with an assistant,contact_human_agent,5,13.1201,0.9920014142990112,1.0,1.0,1.0,1.0
dense_q_19903,dense,19903,have a question about the lost pass,recover_password,5,25.6844,0.9861069917678833,1.0,1.0,1.0,1.0
dense_q_15164,dense,15164,could i get the damn invoice from {{Person Name}},get_invoice,5,24.9772,0.9487062692642212,1.0,1.0,1.0,1.0
dense_q_18371,dense,18371,i need help to inform of troubls with payment,payment_issue,5,30.4845,0.8945978283882141,1.0,1.0,1.0,1.0
dense_q_15194,dense,15194,i want help getting my bills from {{Person Name}},get_invoice,5,18.2235,0.9857527613639832,1.0,1.0,1.0,1.0
dense_q_11449,dense,11449,i dont know what i need to do to delete a {{Account Category}} account,delete_account,5,34.988,0.9944919347763062,1.0,1.0,1.0,1.0
dense_q_6204,dense,6204,help me seeing in what cases can I ask for refunds,check_refund_policy,5,18.9693,0.991508960723877,1.0,1.0,1.0,1.0
dense_q_18701,dense,18701,I don't knpw how to report payment issues,payment_issue,5,27.8308,0.8905155658721924,1.0,1.0,1.0,1.0
dense_q_14352,dense,14352,editing details on freemium account,edit_account,5,33.347,0.9814216494560242,1.0,1.0,1.0,1.0
dense_q_16002,dense,16002,help to ask for a restitution of money,get_refund,5,26.8125,0.9391130208969116,1.0,1.0,1.0,1.0
dense_q_10064,dense,10064,could you help me creating a new bloody freemium account?,create_account,5,19.1597,0.905717134475708,1.0,1.0,1.0,1.0
dense_q_18633,dense,18633,report problems with payment,payment_issue,5,35.8983,0.9885735511779785,1.0,1.0,1.0,1.0
dense_q_7803,dense,7803,want assistance making a claim against ur company,complaint,5,26.4515,0.9828317165374756,1.0,1.0,1.0,1.0
dense_q_21416,dense,21416,report issues creating user,registration_problems,5,16.662,0.981163740158081,1.0,1.0,1.0,1.0
dense_q_13673,dense,13673,i dont know how to see how soon can i expect my item,delivery_period,5,28.6454,0.9842520952224731,1.0,1.0,1.0,1.0
dense_q_25140,dense,25140,i cant see the current status of purchase {{Order Number}},track_order,5,26.4408,0.9892568588256836,1.0,1.0,1.0,1.0
dense_q_5410,dense,5410,I have to see your allowed payment methods,check_payment_methods,5,19.3682,0.9520492553710938,1.0,1.0,1.0,1.0
dense_q_17613,dense,17613,need help unsubscribing from ur newsletter,newsletter_subscription,5,18.4075,0.9913672208786011,1.0,1.0,1.0,1.0
dense_q_15321,dense,15321,i want help downloading  my invoice from {{Person Name}},get_invoice,5,30.072,1.0000001192092896,1.0,1.0,1.0,1.0
dense_q_19711,dense,19711,I want assistance ordering an article,place_order,5,17.0363,0.9471443891525269,1.0,1.0,1.0,1.0
dense_q_8958,dense,8958,want assistance talking with somebody,contact_human_agent,5,31.7772,0.9751907587051392,1.0,1.0,1.0,1.0
dense_q_24110,dense,24110,wanna switch to the platinum accoun,switch_account,5,31.5489,0.8023580312728882,1.0,0.6,1.0,0.9060254355346823
dense_q_7800,dense,7800,I call to lodge a customer complaint against your company,complaint,5,28.5615,0.9182794094085693,1.0,1.0,1.0,1.0
dense_q_26360,dense,26360,I do not know how to check the rebate current status,track_refund,5,35.9522,0.9780935645103455,1.0,1.0,1.0,1.0
dense_q_10099,dense,10099,open another pro account,create_account,5,24.6239,0.9009482860565186,1.0,1.0,1.0,1.0
dense_q_13471,dense,13471,could you help me to see how soon can I expect the product?,delivery_period,5,26.5942,0.997014045715332,1.0,1.0,1.0,1.0
dense_q_7293,dense,7293,want assistance to make a reclamation against ur business,complaint,5,38.3189,0.9803484082221985,1.0,1.0,1.0,1.0
dense_q_24764,dense,24764,I do not know how I can switch to tbe {{Account Category}} account,switch_account,5,40.9238,0.8812829852104187,1.0,1.0,1.0,1.0
dense_q_16415,dense,16415,can you help me getting a reimbursement?,get_refund,5,27.3318,0.9331042766571045,1.0,1.0,1.0,1.0
dense_q_6059,dense,6059,need help to check in which cases can i ask to be refunded,check_refund_policy,5,50.288,0.9956997632980347,1.0,1.0,1.0,1.0
dense_q_26525,dense,26525,I am waiting for a restitution of {{Currency Symbol}}{{Refund Amount}},track_refund,5,115.0818,1.0000001192092896,1.0,1.0,1.0,1.0
dense_q_5861,dense,5861,help me check ur allowed payment modalities,check_payment_methods,5,28.3573,0.9627888798713684,1.0,1.0,1.0,1.0
dense_q_18466,dense,18466,how could I inform of issues with payment?,payment_issue,5,17.423,0.9808856248855591,1.0,1.0,1.0,1.0
dense_q_8271,dense,8271,how can i contact customer support,contact_customer_service,5,29.2184,0.9446495175361633,1.0,1.0,1.0,1.0
dense_q_3008,dense,3008,is it possible to check the withdrawal charges,check_cancellation_fee,5,34.9258,0.962519645690918,1.0,1.0,1.0,1.0
dense_q_11852,dense,11852,I need assistance to delete my {{Account Type}} account,delete_account,5,26.6955,0.9971716403961182,1.0,1.0,1.0,1.0
dense_q_10253,dense,10253,opening new {{Account Category}} account for daughter,create_account,5,28.7761,1.0000001192092896,1.0,1.0,1.0,1.0
dense_q_11315,dense,11315,find information about the deletion of a {{Account Type}} account,delete_account,5,29.5527,0.9535359144210815,1.0,1.0,1.0,1.0
dense_q_6870,dense,6870,could I see in which cases can I ask to be refunded?,check_refund_policy,5,17.7913,0.989467203617096,1.0,1.0,1.0,1.0
dense_q_11762,dense,11762,I do not know what to do to close the {{Account Category}} account,delete_account,5,37.3196,1.000000238418579,1.0,1.0,1.0,1.0
dense_q_14964,dense,14964,need to get the invoices from {{Person Name}},get_invoice,5,18.2832,0.989488959312439,1.0,1.0,1.0,1.0
dense_q_20808,dense,20808,I have a question about the lost pass,recover_password,5,16.2927,0.9861071109771729,1.0,1.0,1.0,1.0
dense_q_17501,dense,17501,unsubscribe to your damn company newsletter,newsletter_subscription,5,25.572,0.9481600522994995,1.0,1.0,1.0,1.0
